,Brand,Title,Name,Price,Rating,URL,Description,Clean_Text
16,STONEBERG,Men Slim Fit Solid Spread Collar Formal Shirt,STONEBERG Men Solid Formal Purple Shirt,370.0,4.0,https://www.flipkart.com/stoneberg-men-solid-formal-purple-shirt/p/itm2d263dd8c2979,STONEBERG Men Solid Formal Purple Shirt Men Slim Fit Solid Spread Collar Formal Shirt,solid spread collar purpl slim fit formal stoneberg men shirt
17,Pytton,Loose Fit Men's T-Shirt Men Striped Round Neck Green T-Shirt,Pytton Striped Men Round Neck Green T-Shirt,359.0,3.8,https://www.flipkart.com/pytton-striped-men-round-neck-green-t-shirt/p/itm47fead0803153,Pytton Striped Men Round Neck Green T-Shirt Loose Fit Men's T-Shirt Men Striped Round Neck Green T-Shirt,neck green round fit stripe loos men tshirt pytton
18,JUGULAR,Men Striped Round Neck Black T-Shirt,JUGULAR Striped Men Round Neck Black T-Shirt,289.0,4.0,https://www.flipkart.com/jugular-striped-men-round-neck-black-t-shirt/p/itm2176297609ffa,JUGULAR Striped Men Round Neck Black T-Shirt Men Striped Round Neck Black T-Shirt,neck round jugular stripe black men tshirt
19,SDK,Men Self Design High Neck White T-Shirt,SDK Self Design Men High Neck White T-Shirt,499.0,3.9,https://www.flipkart.com/sdk-self-design-men-high-neck-white-t-shirt/p/itm2020614a22bc4,SDK Self Design Men High Neck White T-Shirt Men Self Design High Neck White T-Shirt,neck white sdk design high men self tshirt
20,STONEBERG,Men Slim Fit Solid Spread Collar Formal Shirt,STONEBERG Men Solid Formal Brown Shirt,371.0,4.0,https://www.flipkart.com/stoneberg-men-solid-formal-brown-shirt/p/itmb61e9a7abc848,STONEBERG Men Solid Formal Brown Shirt Men Slim Fit Solid Spread Collar Formal Shirt,solid spread collar slim fit brown formal stoneberg men shirt
21,NB NICKY BOY,Men Printed Round Neck Red T-Shirt,NB NICKY BOY Printed Men Round Neck Red T-Shirt,239.0,3.7,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-red-t-shirt/p/itm8102556a29aba,NB NICKY BOY Printed Men Round Neck Red T-Shirt Men Printed Round Neck Red T-Shirt,neck red print round nb boy men tshirt nicki
22,BLIVE,Men Printed Round Neck Maroon T-Shirt,BLIVE Printed Men Round Neck Maroon T-Shirt,189.0,3.7,https://www.flipkart.com/blive-printed-men-round-neck-maroon-t-shirt/p/itm69f9ded094f85,BLIVE Printed Men Round Neck Maroon T-Shirt Men Printed Round Neck Maroon T-Shirt,neck print round maroon blive men tshirt
23,FTX,"Pack of 4 Men Solid Round Neck Silver, Blue, Black, Grey T-Shirt","FTX Solid Men Round Neck Silver, Blue, Black, Grey T-Shirt",469.0,4.1,https://www.flipkart.com/ftx-solid-men-round-neck-silver-blue-black-grey-t-shirt/p/itm39275afebb5b2,"FTX Solid Men Round Neck Silver, Blue, Black, Grey T-Shirt Pack of 4 Men Solid Round Neck Silver, Blue, Black, Grey T-Shirt",solid neck silver pack round grey blue ftx black men tshirt
24,Smartees,Men Printed Round Neck Black T-Shirt,Smartees Printed Men Round Neck Black T-Shirt,199.0,4.0,https://www.flipkart.com/smartees-printed-men-round-neck-black-t-shirt/p/itmab101c0494f65,Smartees Printed Men Round Neck Black T-Shirt Men Printed Round Neck Black T-Shirt,neck print round smartshirt black men tshirt
25,KAJARU,"Pack of 2 Men Striped Round Neck Green, Maroon T-Shirt","KAJARU Striped Men Round Neck Green, Maroon T-Shirt",389.0,4.0,https://www.flipkart.com/kajaru-striped-men-round-neck-green-maroon-t-shirt/p/itmd41b1f1b64d8e,"KAJARU Striped Men Round Neck Green, Maroon T-Shirt Pack of 2 Men Striped Round Neck Green, Maroon T-Shirt",neck green pack round maroon kajaru stripe men tshirt
26,KAJARU,"Pack of 2 Men Striped Round Neck Green, Yellow T-Shirt","KAJARU Striped Men Round Neck Green, Yellow T-Shirt",389.0,4.0,https://www.flipkart.com/kajaru-striped-men-round-neck-green-yellow-t-shirt/p/itm57ab576fe9465,"KAJARU Striped Men Round Neck Green, Yellow T-Shirt Pack of 2 Men Striped Round Neck Green, Yellow T-Shirt",neck yellow green pack round kajaru stripe men tshirt
27,Allen Solly,Men Solid Polo Neck Light Blue T-Shirt,Allen Solly Solid Men Polo Neck Light Blue T-Shirt,449.0,4.2,https://www.flipkart.com/allen-solly-solid-men-polo-neck-light-blue-t-shirt/p/itm49d81a3888df9,Allen Solly Solid Men Polo Neck Light Blue T-Shirt Men Solid Polo Neck Light Blue T-Shirt,polo solli solid allen neck light blue men tshirt
